Disciplina;NivelDisciplina;Ementa;Bibliografia;Programa
AC241;G;Aprofundamento dos estudos realizados em Técnicas do Corpo I, buscando otimização da performance corporal no que diz respeito ao alongamento, força e coordenação motora.;; 
AC242;G;Aprofundamento dos elementos técnicos da dança: noções de partitura corporal, narrativa gestual e suas possíveis relações com a estrutura musical.;; 
AC243;G;Utilização de elementos do jogo de combate em situações de conflito dramático.;; 
AC245;G;"Introdu&#231;&#227;o &#224; express&#227;o corporal. Laborat&#243;rio de express&#227;o livre.";"<!--[if gte mso 9]><xml> <w:WordDocument> <w:View>Normal</w:View> <w:Zoom>0</w:Zoom> <w:HyphenationZone>21</w:HyphenationZone> <w:DoNotOptimizeForBrowser /> </w:WordDocument> </xml><![endif]--> BARBA, Eug&#234;nio e SAVARESE, Nicola.&#160; <b>Anatomia del actor</b>.&#160; M&#233;xico: Grupo Editorial Gaceta, 1988.  <br />GARAUDY, Roger.&#160; <b>Dan&#231;ar a vida</b>.&#160; S&#227;o Paulo, 1986.  <br />MORIN, Edgar.&#160; <b>Os sete saberes necess&#225;rios a educa&#231;&#227;o do futuro</b>.&#160; S&#227;o Paulo: Cortez/UNESCO, 1999.<br />________________.&#160; <b>Corpo, territ&#243;rio sagrado</b>.&#160; Loyola, 2000.  <br />VIANNA, Klaus e CARVALHO, M.&#160; <b>A dan&#231;a</b>. S&#227;o Paulo: Siciliano, 1990.";"<!--[if gte mso 9]><xml> <w:WordDocument> <w:View>Normal</w:View> <w:Zoom>0</w:Zoom> <w:HyphenationZone>21</w:HyphenationZone> <w:DoNotOptimizeForBrowser /> </w:WordDocument> </xml><![endif]--> <b>Objetivos:</b><u><br /></u><b><br />Geral</b>: Proporcionar ao aluno o contexto com t&#233;cnicas de dan&#231;a que venham colaborar para o desenvolvimento de uma consci&#234;ncia corporal e r&#237;tmica adequadas ao ator de modo a desenvolver o corpo como instrumento/canal de cria&#231;&#227;o e express&#227;o art&#237;stica.  <b><br /><br />Espec&#237;fico</b>: <br />- Desenvolver a consci&#234;ncia corporal e a coordena&#231;&#227;o motora;<br />- Ampliar as possibilidades de utiliza&#231;&#227;o do corpo (flexibilidade, alongamento, t&#244;nus, coordena&#231;&#227;o, utiliza&#231;&#227;o r&#237;tmica);<br />- Desenvolver a percep&#231;&#227;o r&#237;tmica e espacial.<br /><br /><b>Conte&#250;do Program&#225;tico:<br /></b><!--[if gte mso 9]><xml> <w:WordDocument> <w:View>Normal</w:View> <w:Zoom>0</w:Zoom> <w:HyphenationZone>21</w:HyphenationZone> <w:DoNotOptimizeForBrowser /> </w:WordDocument> </xml><![endif]--> 1. Postura  <br />&#160;&#160;&#160; 1.1.&#160; Eixo, centro, verticalidade  <br />&#160;&#160;&#160; 1.2.&#160; Centro de gravidade: cintura p&#233;lvica  <br />&#160;&#160;&#160; 1.3.&#160; Centro de leveza: cintura escapular  <br />&#160;&#160;&#160; 1.4.&#160; Equil&#237;brio din&#226;mico.  <br /><br />2.&#160; Movimento  <br />&#160;&#160;&#160;&#160; 2.1. Dinamismo e pulsa&#231;&#245;es <br />&#160;&#160;&#160;&#160; 2.2. Ac&#250;mulo e dispers&#227;o de energia  <br />&#160;&#160;&#160;&#160; 2.3. Transfer&#234;ncia de peso, caminhadas, giros e saltos  <br />&#160;&#160;&#160;&#160; 2.4. Movimento e figuras r&#237;tmicas: compassos bin&#225;rios, tern&#225;rios e deriva&#231;&#245;es.  &#160;  <br /><br />3. M&#250;sica  <br />&#160;&#160;&#160; 3.1. percep&#231;&#227;o musical  <br />&#160;&#160;&#160; 3.2. percep&#231;&#227;o r&#237;tmica  &#160;  <br /><br />4. Espa&#231;o  <br />&#160;&#160;&#160; 4.1. Cinesfera e a cruz tridimensional <br />&#160;&#160;&#160; 4.2. N&#237;veis alto, m&#233;dio, baixo  <br />&#160;&#160;&#160; 4.3. Linhas, curvas, volumes  <br />&#160;&#160;&#160; 4.4. Deslocamentos individuais e conjuntos."
AC248;G;Aprofundamento dos estudos realizados em Técnicas do Corpo I, buscando otimização da performance corporal no que diz respeito ao alongamento, força e coordenação motora.;; 
AC250;G;"Aprofundamento dos elementos estudados na disciplina Improvisa&#231;&#227;o: O Jogo I, desenvolvendo procedimentos e regras relacionadas ao jogo teatral.";;
AC251;G;Noções básicas de técnica vocal: respiração, emissão, articulação e impostação. Elementos de anatomia e fisiologia do aparelho fonador. Classificação vocal. Conscientização do uso da voz como instrumento musical. Vocalizes básicos. (continuação do AC-151).;; 
AC252;G;"Desenvolvimento t&#233;cnico e exerc&#237;cio pr&#225;tico de elementos de interpreta&#231;&#227;o teatral para o cantor.";"<!--[if gte mso 9]><xml> <w:WordDocument> <w:View>Normal</w:View> <w:Zoom>0</w:Zoom> <w:HyphenationZone>21</w:HyphenationZone> <w:DoNotOptimizeForBrowser /> </w:WordDocument> </xml><![endif]--> BEUTTENMULLER, M.G., LAPORT, Nelly&#160; <b>Express&#227;o vocal e express&#227;o corporal</b>.&#160;   Rio de Janeiro: Forense Universit&#225;ria, 1974.&#160; 132 p.  <br />FERREIRA, L&#233;slie Piccolotto&#160; <b>Trabalhando a voz</b>.&#160; S&#227;o Paulo: Summus,   1988.&#160; 158 p.&#160;&#160; <b>Voz profissional.</b> Carapicu&#237;ba: Pr&#243;-Fono, 1995.&#160; 210 p.  <br />NUNES, L&#237;lia <b>&#160;Manual de voz e dic&#231;&#227;o</b>.&#160; Rio de Janeiro: SNT, 1972.&#160; 198 p.  <br />QUITERO, Eudosia A.&#160;<b> Est&#233;tica da voz: uma voz para o ator</b>. S&#227;o Paulo: Summus, 1989.&#160; 119 p.  <br />SOARES, R.M.Freire, PICCOLOTTO, L&#233;slie&#160; <b>T&#233;cnicas de imposta&#231;&#227;o e comunica&#231;&#227;o oral</b>.&#160; S&#227;o Paulo: Loyola, 1977.&#160; 109 p.";"<!--[if gte mso 9]><xml> <w:WordDocument> <w:View>Normal</w:View> <w:Zoom>0</w:Zoom> <w:HyphenationZone>21</w:HyphenationZone> <w:DoNotOptimizeForBrowser /> </w:WordDocument> </xml><![endif]--> <!--[if gte mso 9]><xml> <w:WordDocument> <w:View>Normal</w:View> <w:Zoom>0</w:Zoom> <w:HyphenationZone>21</w:HyphenationZone> <w:DoNotOptimizeForBrowser /> </w:WordDocument> </xml><![endif]--><b>Objetivos:</b><br />- Habilita&#231;&#227;o em interpreta&#231;&#227;o teatral;<br />- Proporcionar ao aluno o conhecimento e o treinamento de elementos t&#233;cnico/vocais integrantes da fala, dirigidos &#224; interpreta&#231;&#227;o teatral; utiliza&#231;&#227;o desses mesmos elementos para o desenvolvimento de uma forma individualizada da express&#227;o vocal.<br /><br /><!--[if gte mso 9]><xml> <w:WordDocument> <w:View>Normal</w:View> <w:Zoom>0</w:Zoom> <w:HyphenationZone>21</w:HyphenationZone> <w:DoNotOptimizeForBrowser /> </w:WordDocument> </xml><![endif]--><b>Conte&#250;do Program&#225;tico:</b><br /><!--[if gte mso 9]><xml> <w:WordDocument> <w:View>Normal</w:View> <w:Zoom>0</w:Zoom> <w:HyphenationZone>21</w:HyphenationZone> <w:DoNotOptimizeForBrowser /> </w:WordDocument> </xml><![endif]--> 1. Tonalidade da voz <br /><br />2. Leitura e compreens&#227;o de um texto   <br />&#160;&#160;&#160; 2.1&#160; Pontua&#231;&#227;o e pausas <br />&#160;&#160;&#160; 2.2&#160; Palavra de valor  <br />&#160;&#160;&#160; 2.3&#160; Acentua&#231;&#227;o t&#244;nica  <br /><br />3. Ritmo da fala  <br /><br />4. Movimento da fala  <br /><br />5. Entoa&#231;&#227;o, inflex&#227;o (percep&#231;&#227;o e forma)  <br /><br />6. Colorido vocal"
AC260;G;Estudos orientados para a investigação de procedimentos específicos de criação cênica.;; 
AC270;G;Aprofundamento dos procedimentos desenvolvidos na disciplina Improvisação: O Silêncio I, aplicados à construção da cena.;; 
AC280;G;Aprofundamento dos procedimentos desenvolvidos na disciplina Improvisação: A Palavra I, com ênfase na estruturação da cena.;; 
AC301;G;"Dos \ABRSP dramas de casaca"" à opereta: declínio do teatro nacional. Leitura e análise de textos.";; 
AC302;G;Pré-Romantismo e Romantismo. Drama e Comédia nos países europeus. Leitura e análise de textos.;; 
AC304;G;Integrar turmas de alunos de semestres diferentes, através da participação conjunta em eventos teatrais. Mantem-se o contato com os profissionais atuantes na área.;; 
AC305;G;"Estudo te&#243;rico-pr&#225;tico da palavra como a&#231;&#227;o, enfatizando seus aspectos sem&#226;nticos e expressivos.";;
AC307;G;A relação do grupo como elemento fundamental para a criação teatral.;; 
AC309;G;Estudos técnicos fundamentais da arte de representar: o treinamento do ator e seus personagens, por meio de técnicas que o conduzam à sondagem contínua de sua experiência subjetiva.;; 
AC310;G;"Inicia&#231;&#227;o ao estudo de matrizes gestuais de dan&#231;as brasileiras populares e religiosas. Utiliza&#231;&#227;o de recursos espec&#237;ficos da dan&#231;a na compreens&#227;o e express&#227;o desse vocabul&#225;rio.";;
AC311;G;Identificação e reconhecimento dos componentes físicos do som vocal. Desenvolvimento desses componentes integrados aos elementos da representação.;; 
AC313;G;;;
AC314;G;;;
AC315;G;Estudo de dramaturgia, espetáculos e teorias fundamentais na história do teatro brasileiro.;; 
AC316;G;Leituras e análises de textos consagrados da dramaturgia ocidental.;; 
AC317;G;"Investigar os componentes c&#234;nicos cenografia e indument&#225;ria visando sua aplica&#231;&#227;o nas teatralidades contempor&#226;neas.";;
AC318;G;As origens, especificidades e desenvolvimento das estéticas cênicas matriciais. Características de discursos cênicos empreendidos na contemporaneidade. Elaboração e estudo de projeto de direção de obra curta.;; 
AC319;G;Estudo dos conceitos e das formas do teatro trágico. Análise e interpretação de obras clássicas, modernas e contemporâneas.;; 
AC320;G;Estudo dos conceitos do teatro cômico. Análise e interpretação de obras clássicas, modernas e contemporâneas.;; 
AC321;G;Estudos técnicos sobre organização e gestão de obras artísticas. Relação da obra de arte com o mercado.;; 
AC325;G;"Inicia&#231;&#227;o ao estudo de matrizes gestuais de dan&#231;as brasileiras populares e religiosas. Utiliza&#231;&#227;o de recursos espec&#237;ficos da dan&#231;a na compreens&#227;o e express&#227;o desse vocabul&#225;rio.";;
AC330;G;Estudo do conceito de ação física em seus aspéctos constitutivos. Exercícios cênicos.;; 
AC340;G;Estudo do conceito de ação física em seus aspectos constitutivos. Exercícios cênicos.;; 
AC350;G;"Estudo aprofundado dos elementos presentes nos textos dram&#225;ticos. Leitura, an&#225;lise e debate de pe&#231;as importantes da dramaturgia ocidental.";;
AC351;G;Aprimoramento da técnica básica. Vocalizes intermediários. Diferentes linhas de canto: popular e erudito. Aplicação da técnica em repertório apropriado. Trabalho de canto em conjunto: afinação e sonoridade de grupo.;; 
AC352;G;A Canção no Teatro Musical Brasileiro - Estudo Teórico e Desenvolvimento Técnico de Elementos da Vocalidade Brasileira: Sonoridade, Extensão, Ritmo.;; 
AC353;G;Identificação e reconhecimento dos componentes físicos do som vocal visando sua integração com a cena como elementos de representação.;; 
AC360;G;Estudos orientados para a investigação de procedimentos específicos de criação cênica.;; 
AC370;G;"Introdu&#231;&#227;o aos elementos que constituem a pesquisa em arte e &#224; elabora&#231;&#227;o de projeto na &#225;rea.";;
AC401;G;Entrada no século XX. Leitura e análise de textos abrangendo o modernismo.;; 
AC402;G;Naturalismo e simbolismo no teatro. Análise de textos e da evolução de encenação.;; 
AC405;G;"Estudo te&#243;rico-pr&#225;tico da palavra como a&#231;&#227;o, utilizando a tradi&#231;&#227;o dramat&#250;rgica como matriz geradora de exerc&#237;cios de linguagem c&#234;nica.";;
AC407;G;A improvisação e a noção de jogo dramático como fonte natural da criação teatral.;; 
AC409;G;Treinamento do ator e seus personagens por meio de técnicas que o conduzam ao envolvimento emocional através de estudos dos sistemas de interpretação de Constantin Stanislawski, Jerzy Grotowski e Peter Brook.;; 
AC410;G;"Aprofundamento no estudo do gestual das dan&#231;as brasileiras identificadas com a cultura popular brasileira. Investiga&#231;&#227;o dos aspectos de teatralidade presentes nas manifesta&#231;&#245;es.";;
AC411;G;Identificação e reconhecimento dos elementos materiais da fala. Desenvolvimento desses componentes integrados aos elementos da representação.;; 
AC412;G;Noções práticas sobre a arte circense, com o objetivo de permitir ao ator um desenvolvimento mais amplo da arte de atuar.;; 
